"Timestamp","Message","Media","Name"
"10/20/2022 1:02:40","Hi 扇子扇子 ( fan fan), congratulations on your 2 years and also joing TSM. Hopefully you can continue to do the things you like and PogO with Joey. Im gonna take this opportunity to say please go find May. PogO fanfL","https://drive.google.com/open?id=1V9PtoX7PAzE1QqvkLaKknUTecaOCZ6iJ","Little Knee"
"10/20/2022 1:04:59","HELLOGE FANFAN HAPPY 2 YEAR STREAMERVERSARY!! u have come a long way and all of us are incredibly proud of you! even though I don't watch as often anymore, I will never forget the days of degen watching your streams and having a blast, as well as the time we met in singapore. i hope you're doing well and i wish nothing but the best for you fanfJAM","https://drive.google.com/open?id=1JtsBTFz1RZp8SQU2uZwEGWIIldYPc6Y2","felix"
"10/20/2022 1:11:47","Yo happy 2  stream anniversary! Thanks for being such an amazing streamer that I can enjoy no matter what shitty mood I’m in. Your irl streams have been so enjoyable to watch and I’m glad I’m apart of such an insane community such as yours. And stop vaping so much, I told you on your birthday last time dummy. ","","Plasticmonk"
"10/20/2022 1:41:04","Happy 2 years ??? u are interest ! 3 fanfLL","https://drive.google.com/open?id=1G0rA3FT98_dc8nrolhIHCG7gHRfRRUV5","Alakutubak"
"10/20/2022 1:48:25","Happy 2nd Year Streamerversary! It's been such an amazing journey seeing you evolve to an IRL streamer and taking us along on your journeys around the world. Thanks for all the PogO and fun times and can't wait to see what's next!","https://drive.google.com/open?id=1N0y3SubmuW_sV3w9pPrDQ-acqZvO0sH2","Echoge"
"10/20/2022 2:19:27","HAP 2 YEARS OF STREAMING FUNFUN! its been crazy seeing how quickly you've grown in such a short amount of time and I'm so glad that I got to be a part of this community for a while. From watching you start off streaming in ur living room with the hairbrush mic to the crazy 24 hr streams to watching you travel all over the world, its been really special. I wish I could be around more often but life has been busy. From one of ur oldest fanfan fans, NUT o7 ","","DarthNutella"
"10/20/2022 6:07:56","Happy 2 yr strimversary! Hope you strim more so I can Modge more times. Also don't forget to get Fudge some Calvin Klein daphCheer","","Hero_Egg"
"10/20/2022 7:35:46","Because of your streaming, my work-from-home days were more joyful than I expected. I have to say thank you and happy the 2nd streaming anniversary!","","nightfalleve"
"10/20/2022 8:49:22","This looks hella sus... whats this shit for again?  FanFan?  Who tf is FanFan? ...oh that Walmart Daphne?  Umm... sure I guess I can write something... Happy 2 Year Anniversary fanfan.  I'd write something longer and more wholesome, but I don't like how this google doc won't let me write paragraphs and I'm subjected to one long ass paragraph.  I'll save wholesome skakge for your b-day where I can write more freely.  I love ya fam, and if you ever need anything from me, I'll be there for you homie.  Attached is some exclusive Twitch Con behind the scenes content. (idk if this shit even worked lol) ","","Skakge"
"10/20/2022 8:51:38","Happy 2 yr and many more of THIS and THAT , THIS and THAT , THIS and THAT , THIS and THAT , THIS and THAT , THIS and THAT , THIS and THAT , THIS and THAT , THIS and THAT THIS and THAT , THIS and THAT , THIS and THAT , THIS and THAT , THIS and THAT , THIS and THAT , THIS and THAT , THIS and THAT , THIS and THAT , THIS and THAT , THIS and THAT , THIS and THAT , THIS and THAT , THIS and THAT , THIS and THAT  ","","BetaSeange"
"10/20/2022 10:14:28","Just attaching the video that didn't attach lol","https://drive.google.com/open?id=19ae4OlkziDECOsHiC7ZIXVuxTraLH6LT","Skakge"
"10/20/2022 22:07:46","fanfJAM happy 2 years, here's to many more!! thanks for all the fun content, and stepping out of your comfort zone to show us the world! i wish you nothing but the best moving forword fanfLL","","BoundlessDreamer"
"10/20/2022 11:12:31","2 years, same shirt lol jk happy two year streamerversary on twitch to my favorite  apex looter/hoarder and awkward irl streamer. thanks for being yourself at home during pc streams and irl streams, playing weird video games and making me VIP.

 congrats to you on 2 years of streaming and here's to your continued success for many more years in streaming and every endeavour you embark on. stay beautiful, funny and sweet. tons of love to you fione fione from Dre fanfL","","Dre"
"10/20/2022 15:41:05","HAPPY TWO YEARS FINFON ONE OF THE NEWER PEOPLE BUT IT'S BEEN VERY POG fanfJAM fanfJAM fanfJAM fanfJAM ","","Sammy/kasino"
"10/20/2022 23:40:58","fanfHiyo I can't believe I have been stuck in stream watching for over two months, love it all. Anyway keep up the hard work your content always getting better. fanfL","","sputnikfan!"
"10/21/2022 3:51:40","Happy 2 years fanfan.
I've only been here for one of those years Sadge but I enjoyed every minute of it. No matter what you stream your personality carries the content.
Hoping to see you stream for many more years in the future.","","morning wood"
"10/21/2022 4:06:41","hi funfun fanfHiyo congrats on 2 years of contributing next to nothing to society fanfL been so awesome coming along and seeing all your successes Drake jokes aside it's all hella deserved. Not sure what else I can say to get across that you really are a 10/10 streamer. Cheers to however much longer you decide to continue being a professional HUH farmer!!","","leftjoycunt"
"10/21/2022 4:08:50","Day 730 of nonstop finfon content and im starting to lose track of how long I’ve been trapped here… my only wish is that my family never finds out my search history is full of cringe phrases like “fanfan caught sucking toes” or “toilet gets destroyed by fanfan”or “fanfan slurps burps” PainsChamp . I shouldve read the bio before subbing but I was jebaited and now I cant go back to being a regular pixel. I miss the days when I could just watch, chat, coom and repeat COPIUM . No other content can do it for me anymore I am addicted to cringe now and its all thanks to flimflom Smadge . My days are spent edging about whether or not she actually wants to fuck her brother or if she really wants to rope obese people off and I cant take it anymore peepoRiot . I NEED ANSWERS! is she a titty streamer or not a titty streamer? does she actually watch anime or does she just remember the opennings? is she really cracked at apex or not? IS SHE EVEN CHINA?! the conspiracy theories never end with finfon and I cant stop watching FeelsBadMan ","https://drive.google.com/open?id=1FDLsz_EmwNuorOMTHM8AUSgc1LxGXqay","milkncropdust"
"10/21/2022 4:37:08","2 years wooow congrats!
thanks for all the fun content","https://drive.google.com/open?id=1MsWZ64xIgfftyJ_MM9kJ1lew3mK9KaxL","HarrysHT"
"10/21/2022 11:29:27","peepoClap Happy 2 years finfon peepoClap , thank you for all u do and all the memorable moments on stream! I'm excited to see what happens next and most importantly, I'm grateful to be a proud member of onlyfanfans HYPERS couldn't ask for a better steamer :D Mimikyu","https://drive.google.com/open?id=1zc2nKAskQq0j-tEHOx96IKm9WJ3mIsll","sunda3"
